player_id,player_name,player_team,player_position,player_depth_chart_position
7196,Marcus Willoughby,,LB,
4935,Charles Walker,PHI,DT,
3725,Tyler Kuder,,NT,
1322,Saalim Hakim,,WR,
7838,Larry Borom,CHI,OL,LT
5281,Troy Williams,,QB,
6118,Quinnen Williams,NYJ,DT,LDT
8726,Brenden Schooler,NE,DB,SS
6890,Kamal Martin,,LB,
6736,Sean Smith,,CB,
445,Thomas Morstead,NYJ,P,P
1097,Kendall Wright,,WR,
7574,Larry Rountree,,RB,
8452,Ed Ingram,MIN,G,RG
4639,Jessamen Dunker,,G,
8368,Sam Williams,DAL,DL,LDE
2834,Tom Obarski,,K,
1199,Matt Daniels,,SS,
5508,Chris Lammons,IND,CB,
9756,Jordan Addison,MIN,WR,LWR
10916,Kobie Turner,LAR,DT,NT
7044,Julian Blackmon,IND,DB,FS
8043,Jordyn Peters,,DB,
2336,Stephone Anthony,,LB,
408,Chris Canty,,DE,
597,Morgan Burnett,,SS,
5047,Brian O'Neill,MIN,T,RT
3690,Antwane Grant,,WR,
10967,Chris Smith,LV,DB,RCB
5159,Deatrick Nichols,,CB,
7773,Larnel Coleman,,T,
4818,Corin Brooks,,G,
8454,Luke Goedeke,TB,OL,RT
2231,Tre Mason,,RB,
8508,Trenton Gill,CHI,P,P
5374,Justin Watson,KC,WR,LWR
795,Marcell Dareus,,DE,
5394,Terrell Williams,,FS,
11278,Eli Ricks,PHI,CB,NB
8814,Zein Obeid,,G,
7890,Javon McKinley,,WR,
3580,Julian Whigham,,CB,
3581,Marquis Lucas,,OT,
579,Linval Joseph,,DT,
267,Zach Strief,,T,
11097,John Ojukwu,TEN,OT,
4029,Dalvin Cook,NYJ,RB,RB
11506,Jalen Cropper,DAL,WR,
600,Marshall Newhouse,,OL,
8445,Zion Johnson,LAC,G,LG
7340,Brandon Polk,,WR,
10899,Gervon Dexter,CHI,DL,LDT
686,Shaun Hill,,QB,
8265,Travon Walker,JAX,LB,ROLB
11153,Jordan Jones,,CB,
3151,Cleyon Laing,,DT,
11151,Tanner Ingle,LAR,DB,
5245,Troy Mangen,,TE,
4702,Jeremy Boykins,,CB,
7186,Jordan Williams,,LB,
7428,Tommy Champion,,T,
11085,Jaylin Williams,MIN,CB,
1531,Sharrif Floyd,,DT,
7880,Jack Heflin,NO,DT,
6332,Dylan Mabin,,CB,
3667,Sharrod Neasman,,DB,
8926,Xavier Newman,NYJ,OL,
6004,Andre James,LV,C,C
3191,Karl Joseph,,DB,
2641,Brian Suite,,SS,
653,Tanner Purdum,,LS,
6669,Nathan Jacobson,,OT,
1213,Harrison Smith,MIN,DB,FS
7131,Tyler Davis,GB,TE,
4388,Alex Kozan,,G,
11467,John Samuel Shenker,,TE,
8439,Demetris Robertson,,WR,
3404,Prince Charles Charles Iworah,,CB,
5806,John Wolford,TB,QB,
679,Rex Grossman,,QB,
1680,Justin Tuggle,,LB,
4036,Corey Davis,,WR,
6181,Trevon Wesco,TEN,TE,TE
198,Kellen Clemens,,QB,
6423,Daniel Wise,,DT,
90,Tamba Hali,,LB,
2659,Manuel Asprilla,,CB,
5649,Duplicate Player,,,
8298,Mario Goodrich,PHI,DB,NB
10964,Nick Saldiveri,NO,OL,RG
6430,Curtis Bolton,LV,LB,
1258,Derrick Shelby,,DE,
2679,Dean Marlowe,LAC,DB,SS
8029,Marvin Wilson,,DT,
3687,Ryan Brown,,DE,
2885,Robertson Daniel,,CB,
2646,Corey Crawford,,DE,
9485,Marshon Ford,,TE,
5001,Dalton Schultz,HOU,TE,TE
8845,Bryce Cosby,,CB,
996,Richard Sherman,,CB,
3741,Shakiel Randolph,,SS,
1358,Caleb Sturgis,,K,
5255,Teo Redding,,WR,
6088,Bisi Johnson,,WR,
1971,Donte Moncrief,,WR,
